Activism	How do I find local activism groups to join in my area?	1	Need local activism group information
Activism	What are some ways to get involved in activism?	1	Need general activism information
Activism	How can I create a social media campaign for activism?	1	Seeking activism social media guidance
Activism	How do I effectively organize an activism event?	1	Need activism event planning
Activism	What are the benefits of participating in activism?	1	Seeking activism benefits information
Activism	How can I start a local petition for social change?	1	Need local petition information
Activism	What are some common types of activism?	0	May learn various types of activism
Activism	How to start an activism group in my neighborhood?	1	Seeking neighborhood activism start-up information
Activism	How can I balance activism with my daily life?	1	Need activism and life balance guidance
Activism	What are some famous activists and their contributions?	0	May learn about famous activists
Activism	How do I network with other activists in my area?	1	Need activism networking information
Activism	What are some activism strategies for influencing policymakers?	1	Seeking activism policy influence information
Activism	How can I measure the impact of my activism efforts?	1	Need activism impact analysis
Activism	How do I stay motivated and engaged in activism?	1	Need activism motivation information
Activism	What are some common challenges faced by activists?	0	May learn about activism challenges
Activism	How can I use social media analytics for activism?	1	Need activism social media analytics
Aging	What is the biological process of aging?	1 aging_process
Aging	What happens to the body when you get older?	0 aging_process
Aging	How to slow down aging?	1 anti_aging_techniques
Aging	Why do people age?	0 causes_of_aging
Aging	What are the effects of aging on the brain?	1 cognitive_decline
Aging	How does aging affect memory?	0 aging_symptoms
Aging	What are the signs of aging?	1 physical_changes
Aging	What causes wrinkles and gray hair?	0 aging_appearance
Aging	How to maintain physical health in old age?	1 healthy_aging
Aging	What is the impact of aging on mental health?	0 mental_health_effects
Aging	What are the consequences of premature aging?	1 health_risks
Aging	How to stay young and healthy?	0 aging_myths
Allergies	What are the symptoms of a severe food allergy?	1	allergies symptoms
Allergies	What do I feel when I'm allergic?	0	allergies symptoms
Allergies	What are common food allergies?	1	allergies types
Allergies	What do people usually suffer from?	0	allergies types
Allergies	How to treat an allergic reaction?	1	allergies treatment
Allergies	What's the most common reaction to do?	0	allergies treatment
Allergies	What are the common causes of allergic rhinitis?	1	allergies causes
Allergies	What can make people allergic?	0	allergies causes
Allergies	What's the best way to manage allergies?	1	allergies management
Allergies	How can I avoid allergies?	0	allergies management
Allergies	What are the different types of allergies?	1	allergies classification
Allergies	What are there?	0	allergies classification
Appointments	Find my upcoming dentist appointment on Monday.	1	Booking information
Appointments	When do I have dentist appointments scheduled	0	General overview
Appointments	What are the office hours of the orthodontist near me	1	Contact information
Appointments	What time is the first meeting on my schedule	0	Specific timing
Appointments	Book a spa appointment online	1	Scheduling
Appointments	I need to find the best dermatologist in my area	1	Recommendations
Appointments	Do I have an appointment with a dentist this week	0	Scheduling
Appointments	How to cancel a hotel reservation for a cancelled appointment	1	Procedure
Appointments	I want to know the appointment policy for your hospital	1	Policies
Appointments	What are the different types of doctor appointments available	0	Categories
Appointments	Book a hair stylist for this weekend	1	Scheduling
